,Mediana,Promedio,Variaci�n Mensual del Promedio
6/1/2018,30,35.8263425979,7.4591%
7/1/2018,30,32.1600777006,-10.2334%
8/1/2018,30,35.2513598614,9.6122%
9/1/2018,30,40.3510119703,14.4665%
10/1/2018,40,39.9013708324,-1.1143%
11/1/2018,30,38.3364529717,-3.9220%
12/1/2018,30,35.6823682958,-6.9231%
1/1/2019,30,39.2313478057,9.9460%
2/1/2019,30,36.8511393506,-6.0671%
3/1/2019,40,40.8389698579,10.8215%
4/1/2019,40,40.5956967368,-0.5957%
5/1/2019,30,36.6279880637,-9.7737%
6/2/2019,30,34.4980173258,-5.8151%
7/2/2019,30,31.9066367895,-7.5117%
8/2/2019,30,34.700338527,8.7559%
9/2/2019,30,33.1496931682,-4.4687%
10/2/2019,30,31.2389829059,-5.7639%
11/2/2019,30,32.7002356124,4.6777%
12/2/2019,30,31.6127784698,-3.3255%
1/2/2020,30,31.8443876663,0.7326%
2/2/2020,30,35.7916388059,12.3954%
3/2/2020,30,33.7640280451,-5.6650%
4/2/2020,40,40.2740435197,19.2809%
5/1/2020,50,47.4164597864,17.7345%
6/1/2020,40,44.5483969224,-6.0487%
7/1/2020,40,43.0676048982,-3.3240%
8/1/2020,40,44.9999071371,4.4867%
9/1/2020,40,43.3155409627,-3.7430%
10/1/2020,45,46.9597382067,8.4131%
11/1/2020,40,44.4815378032,-5.2773%
12/1/2020,40,42.8545278079,-3.6577%
1/1/2021,45,44.1394138832349,2.9983%
2/1/2021,45,45.2380698542436,2.4891%
3/1/2021,50,46.3398704049969,2.4356%
4/1/2021,50,47.8979657057393,3.3623%
